path	status	expected	reason
gcc/testsuite/gcc.dg/940510-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wdeclaration-after-statement-4.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Werror-implicit-function-declaration.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c89-default.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c89-pedantic.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wimplicit-function-declaration-c89.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wincompatible-pointer-types-3.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wincompatible-pointer-types-4.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c89-asm.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c89-ext.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c89-no.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c89.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c90-asm.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c90-ext.c	skipped	accept	requires GCC warning/diagnostic behavior
gcc/testsuite/gcc.dg/Woverlength-strings-pedantic-c90.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/Wreturn-mismatch-6.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wvla-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wvla-3.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wvla-5.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wvla-6.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/Wvla-7.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/anon-struct-1.c	imported-reject	reject	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/atomic-pr51256.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/bf-ms-attrib.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/builtin-complex-err-2.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/builtins-12.c	imported-accept	accept	GCC builtin frontend signature model
gcc/testsuite/gcc.dg/builtins-13.c	skipped	reject	requires GCC target/runtime test harness
gcc/testsuite/gcc.dg/builtins-16.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/builtins-35.c	imported-accept	accept	GCC builtin frontend model
gcc/testsuite/gcc.dg/c90-align-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-anon-struct-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-array-lval-3.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-4.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-array-lval-5.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-6.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-7.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-array-lval-8.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-arraydecl-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-atomic-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-auto-1.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-complex-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-complit-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-complit-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-const-expr-1.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-const-expr-10.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-const-expr-11.c	imported-accept	accept	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-const-expr-2.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
gcc/testsuite/gcc.dg/c90-const-expr-3.c	imported-accept	accept	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/c90-const-expr-4.c	imported-accept	accept	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-const-expr-5.c	imported-reject	reject	explicit C89/C90 case reclassified under C99
gcc/testsuite/gcc.dg/c90-const-expr-6.c	imported-reject	reject	GNU frontend extension supported by cvm
gcc/testsuite/gcc.dg/c90-const-expr-7.c	imported-reject	reject	explicit C89/C90 case reclassified under C99 after preprocessing
